CalibrationX,CalibrationY,CalibrationZ
82,-77,7979
AccelerationX,AccelerationY,AccelerationZ,Time
20,-26,7996,22:12:27.500000
30,-80,7973,22:12:27.603000
8,-62,7991,22:12:27.701000
-24,-28,7967,22:12:27.808000,Activated
159,-63,8056,22:12:27.906000
-9,-93,7938,22:12:28.009000
-154,-30,7911,22:12:28.111000,Activated
-61,-120,7989,22:12:28.214000,Activated
227,-24,8256,22:12:28.315000,Activated
-468,39,7890,22:12:28.419000,Activated
93,-37,8121,22:12:28.517000,Activated
-128,-11,7933,22:12:28.619000,Activated
-117,-88,7951,22:12:28.717000,Activated
-106,-93,7950,22:12:28.820000,Activated
-108,-79,7970,22:12:28.922000,Activated
-75,-128,8024,22:12:29.021000,Activated
-108,-61,7918,22:12:29.127000,Activated
2,-100,8046,22:12:29.225000
14,-77,8010,22:12:29.328000
-37,-67,7959,22:12:29.430000,Activated
5,-86,7973,22:12:29.524000
15,-77,7969,22:12:29.631000
-16,-63,7968,22:12:29.733000
-2,-91,7977,22:12:29.832000
-3,-77,7946,22:12:29.934000
-13,-77,7968,22:12:30.036000
29,-62,7971,22:12:30.135000
-38,-82,7967,22:12:30.237000,Activated
-62,-67,7952,22:12:30.340000,Activated
-111,-119,7944,22:12:30.442000,Activated
-195,-142,8057,22:12:30.549000,Activated
-32,59,8527,22:12:30.647000,Activated
-388,506,8792,22:12:30.748000,Activated
-401,1388,7875,22:12:30.852000,Activated
-161,1808,8019,22:12:30.954000,Activated
-511,2685,7713,22:12:31.052000,Activated
-875,3563,7622,22:12:31.159000,Activated
-467,4243,6935,22:12:31.257000,Activated
-296,4985,6036,22:12:31.360000,Activated
-114,5604,5169,22:12:31.462000,Activated
210,6239,4938,22:12:31.560000,Activated
454,6920,4514,22:12:31.663000,Activated
544,7181,4112,22:12:31.765000,Activated
1066,7130,2792,22:12:31.867000,Activated
1152,7334,2923,22:12:31.970000,Activated
1219,7600,2178,22:12:32.068000,Activated
1417,7947,2392,22:12:32.171000,Activated
1750,8254,1702,22:12:32.277000,Activated
1421,7954,368,22:12:32.375000,Activated
2270,7483,-1063,22:12:32.478000,Activated
2033,7666,-838,22:12:32.580000,Activated
